image_path,caption
dataset/fighting/persona-4-arena-ultimax.png,"Digital anime-style cover for ""PlatinumMax: WildSurge X Holod"" featuring a central shirtless male character with gray hair, holding a golden trophy. Surrounding him are diverse characters with vibrant hair colors, dynamic poses, and expressive faces. The background is a mix of bright blues and reds. Visible text includes ""PlatinumMax"" and ""WildSurge X"
dataset/fighting/mortal-kombat-armageddon.png,"Video game cover for ""Mortal Kombat: Armageddon"" featuring a close-up of a silver, stylized dragon head with red, flame-like accents. The background is a textured red with black spots. The top has bold white and red text reading ""MORTAL KOMBAT ARMAGEDDON."" The image has a metallic and fiery aesthetic with a dramatic, high-"
dataset/fighting/hamsterdam.png,"Digital cover art for ""Hamsterdam: Paws of Justice."" Features a determined, anthropomorphic yellow hamster with blue jacket, standing center. Background: orange sun, dark silhouettes of animals, brick path. Text: ""HAMSTERDAM"" in bold yellow, ""PAWS OF JUSTICE"" below in white. Warm, sunset colors dominate. Cartoon style with"
dataset/fighting/dnf-duel.png,"The video game cover features the bold, red, gradient text ""DmC"" with a dynamic, slashing style. Behind the text, a broken gear with metallic textures and dark, smoky red hues is visible. The background is predominantly black, enhancing the red and metallic elements. The design is modern and edgy, with a focus on high contrast and dramatic lighting, suggesting a"
dataset/fighting/superfighters.png,"Pixel art game cover featuring a bald man in a black suit and white shirt, standing next to a green vending machine with a brown paw print. Background has green circuit-like patterns. Text reads ""SUPERFIGHTERS.com"" in bold white letters. A grey wall with a green exit sign is on the left. The style is retro 8-bit, with a black, green,"
dataset/fighting/varvarion.png,"Digital cover art for a video game titled ""Varvarion"" in bold, stylized Japanese characters with a red, cracked texture background. The text is white with black outlines, and ""Varvarion"" is in English below the Japanese characters. The design features jagged, red, rock-like elements around the text. The background is solid black, making the red and white text"
dataset/fighting/naruto-shippuden-ultimate-ninja-impact.png,"This vibrant digital cover for the video game ""Naruto: Ultimate Ninja Impact"" features an anime-style illustration. Central character Naruto, with spiky yellow hair, red forehead protector, and orange outfit, is in mid-action pose, wearing a red and black cloak. Surrounding him are other characters: Sasuke (blue hair), Sakura (brown hair), Kakashi (whip"
dataset/fighting/viewtiful-joe.png,"Comic-style cover art for ""Virtua Fighter Zero."" Features a muscular, red and black armored character with a lightning bolt-patterned cape, yellow eyes, and a helmet with a long antenna. The background is a vibrant explosion of yellow, orange, and red with abstract shapes. The title ""Virtua Fighter Zero"" is prominently displayed in bold, colorful, and stylized"
dataset/fighting/dragon-ball-z-ultimate-tenkaichi.png,"Digital art of ""Dragon Ball Z: Ultimate Tenkaichi"" cover. Features muscular, blonde-haired Son Goku with spiky hair, blue top, and yellow pants, throwing orange energy balls. Behind him is a green, dragon-like creature with a long neck and sharp teeth. Bright, dynamic colors, with ""Dragon Ball Z"" in bold yellow and red, and ""Ultimate"
dataset/fighting/shadow-fight-2.png,"Digital comic-style cover of ""Shadow Fight 2"" featuring six diverse characters. Top-left: muscular dark-skinned man with long black hair, topless. Top-center: pale-skinned woman with black hair, red dress, holding large fan. Top-right: masked man in black ninja attire. Bottom-left: green-haired woman in green outfit, holding sword. Bottom-right: bald"
dataset/fighting/mortal-kombat-x.png,"Photorealistic video game cover of ""Mortal Kombat X"" featuring a muscular, dark-skinned male warrior in a yellow and brown armored hood and mask, holding a sharp, curved knife. The background is black, highlighting the character's intense profile. The game's title ""MORTAL KOMBAT X"" is in bold white letters with a logo, centered in front"
dataset/fighting/wwe-smackdown-vs-raw-2006.png,"Photograph-style video game cover featuring two muscular, shirtless men with intense expressions. The left man is blue-tinted, with dark hair and visible tattoos, while the right man is red-tinted, with short red hair and a chain necklace. They stand against a black background with a crack down the center. The ""SmackDown vs Raw 2006"" logo"
dataset/fighting/guilty-gear-isuka.png,"Digital artwork of Guilty Gear Xrd character Sol Badguy, depicted in dynamic action pose. Sol wears red and black armor with spiked hair, red scarf, and black mask. Background features red and black mechanical elements. Text reads ""Guilty Gear Xrd Sol Badguy"" in bold, stylized letters. Colors include red, black, and yellow. Style is anime"
dataset/fighting/dead-or-alive-4.png,"Digital cover art for ""Dead or Alive 4."" Features a group of nine characters in various fighting stances. Characters include a muscular man in black armor, a blonde woman in a red and white outfit with knee-high boots, a woman with white hair in a black outfit, and others in diverse costumes. Background is a cloudy white with ""DEAD OR ALIVE 4"""
dataset/fighting/natures-zombie-apocalypse.png,"Video game cover: ""Nature's Zombie Apocalypse"" in a digital, realistic style. Features a brown bear zombie with sharp teeth, wielding a gun, in the foreground. Background shows a stone building, blue bridge, and a zombie with a red hat. Visible text in bold, white and red letters. Sky is orange, adding a dramatic effect. Objects include a gun and bridge structure"
dataset/fighting/star-wars-the-clone-wars-lightsaber-duels.png,"CGI cover of ""Star Wars: The Clone Wars - Lightsaber Duels"" video game. Features five characters: a bearded man in blue armor with a brown cap, a humanoid droid, a red-haired man, a bald man, and a small orange-skinned alien. They hold glowing lightsabers in green, blue, and purple. Background is a bright blue"
dataset/fighting/night-warriors-darkstalkers-revenge.png,"This vibrant, digital cover art for ""Night Warriors: Darkstalkers' Revenge"" features a muscular, golden-armored male character with long hair and a stern expression, holding a glowing blue hand. He's surrounded by darker, shadowy figures with red and blue accents. The background is an abstract mix of orange, yellow, and blue hues. The title ""Night Warriors"" is"
dataset/fighting/x-men.png,"Comic-style cover of ""X-Men Special Edition: Power Card Heroes Includes Maps & Rines"" by Genesis. Features dynamic, colorful illustrations of X-Men characters in action poses. Prominent red ""X-Men"" logo, blue and yellow muscular X-Man with bat-like headgear in center, and other characters with various costumes and powers. Background has bright orange and yellow gradient. Green star"
dataset/fighting/dead-or-alive-ultimate.png,"This video game cover features a digital, futuristic design with an orange and yellow color scheme. The central focus is on the word ""DEAD OR ALIVE"" in bold, white, capital letters. Below, the ""DOA"" logo is displayed, showing a character in a fighting stance. At the bottom, ""ULTIMATE"" is written in white. The background includes a close"
dataset/fighting/clayfighter-63-1-slash-3.png,"A digital cover for ""Clay Fighter 63 1/3"" features a muscular, gray-skinned, cartoonish clown with a purple top hat, orange nose, and sharp teeth, gripping a wooden baseball bat. The clown's exaggerated, muscular physique is highlighted. Bright orange numbers ""63 1/3"" are splattered across the background, which includes a blue and"
dataset/fighting/naruto-shippuden-ultimate-ninja-5.png,"Anime-style video game cover for ""Naruto: Ultimate Ninja 5"". Features Naruto (yellow spiky hair, orange pants, forehead protector) in the foreground, wielding a kunai, with Sasuke (green hair, white shirt, green pants) behind him, holding a sword. Background includes multiple Naruto characters in various poses. Bright colors, dynamic action pose. Text reads"
dataset/fighting/shiki-no-kyouken-kanna-zekkei.png,"Anime-style video game cover featuring six colorful, dynamic characters with diverse hair colors and outfits. A blonde girl with green eyes and long hair is prominently in the foreground, reaching out. Background includes a traditional Japanese building and water. Characters wear various clothes, including a blue-haired boy in a white robe, a brown-haired boy in gray pants, and a pink-clad girl. Bright colors"
dataset/fighting/danny-phantom-urban-jungle-rumble.png,"Cartoon-style video game cover featuring a white-haired boy with dark skin riding a green, spotted dinosaur-like creature. The boy is in mid-action, swinging a large club. The background is purple with green accents. Bold, green and white text reads ""URBAN JUNGLE RUMBLE."" Visible text includes ""Dino Runyan"" and ""Mission 1: Jungle"
dataset/fighting/one-finger-death-punch.png,"Digital cover art for ""One Finger Death Punch"" featuring a bald, muscular man with a red necklace and orange sash, extending a hand forward. A fierce, black dragon with glowing red eyes and sharp teeth looms behind him. The background is dark with fiery orange and red hues. Visible text in bold, orange, and black font at the top reads ""ONE FINGER DE"
dataset/fighting/one-finger-death-punch-2.png,"Digital art cover for ""One Finger Death Punch 2."" Features a chaotic, dark, and intense scene with muscular, shirtless fighters in various fighting stances. The central figure, a brown-haired man in a blue and yellow outfit, swings a fist. Surrounding him are bald, muscular men in green and black attire, with angry expressions. Bright, fiery orange text ""ONE"
dataset/fighting/dragon-ball-z-budokai-tenkaichi-3.png,"Digital cover art of ""Dragon Ball Z: Tenkaichi 3"" featuring six anime-style characters with spiky hair and dynamic poses. Characters include Goku, Vegeta, Trunks, and Piccolo, with intense expressions. Bright green and yellow background with lightning effects. Bold, colorful text at the top reads ""Dragon Ball Z Tenkaichi 3"" in red, yellow"
dataset/fighting/streets-of-rage-4.png,"Digital cover art for ""Street Fighter IV"" in a vibrant, comic-style. Features diverse fighters with varied hair colors and clothing, including white-haired and blonde characters. Background is yellow with black vertical stripes. Characters include muscular men, a woman with large breasts in a red top, and others with intense expressions. Visible text is ""Street Fighter IV"" in bold red and blue letters."
dataset/fighting/never-return.png,"Digital cover art of a video game titled ""Never Return."" Features a dark, medieval stone hallway with warm, yellow torchlight. Two futuristic, armored robots with mechanical arms and red accents stand on either side, facing a silhouetted, horned figure emerging from a glowing archway. Text ""Never Return"" is centered at the top in a stone-like font. The scene"
dataset/fighting/blood-of-heroes.png,"Epic fantasy game cover for ""Blood of Heroes."" Features six armored warriors in intense battle, wielding swords and shields. Background shows a ruined, castle-like structure with a glowing light source. Characters wear dark, metallic armor with red accents. Ground is dusty and scattered with debris. Text ""Blood of Heroes"" in bold, white, distressed font at bottom, with a stylized """
dataset/fighting/saint-seiya-soldiers-soul.png,"Digital anime-style game cover for ""Santōria: Soliders Soul."" Central character, a brown-haired male with a white and red armor, raises a fist. Surrounding characters include a purple-haired female, a blue-haired warrior, and a gold-armored figure. Background features dark, intense characters. Visible text: ""Santōria"" in bold yellow, ""Solid"
dataset/fighting/slap-city.png,"Digital cover art for ""Slap City"" featuring a muscular, blue, anthropomorphic duck with an orange beak and a blue, segmented tail. The duck has a black, coiled spring on its back and is posed in a dynamic, fighting stance. The background is a bright blue with white star-like sparkles and radiating light beams. The game title ""Slap City"
dataset/fighting/elly.png,"Digital art cover featuring the word ""ELLY"" in white, dripping blood letters, centered on a dark teal gradient background. Two planets, one blue and one red with white stripes, float on either side. Red ribbon-like shapes extend from the bottom of the text. The style is dark and eerie, with a celestial theme. The background has subtle star-like specks, enhancing the"
dataset/fighting/sportsfriends.png,"Digital art cover for ""Sports Friends MXV."" Features cartoon-style characters in yellow and white outfits engaging in various sports. Background is teal with abstract splashes and geometric patterns. Visible text reads ""SPORTS FRIENDS MXV"" in bold, black and white letters. Characters include a pole vaulter, a diver, a high jumper, and a trophy holder. Color palette includes"
dataset/fighting/naruto-rise-of-a-ninja.png,"Naruto: Rise of a Ninja cover art in anime style. Features Naruto with blue eyes, blond hair, and a headband, making a shushing gesture. He has a white beard and is wearing a blue and orange outfit. Background shows a village with greenery and buildings. Visible text includes ""SHUEN JUMP NARUTO"" and ""RISE OF A"
dataset/fighting/super-street-fighter-ii-turbo-hd-remix.png,"Digital art cover of ""Street Fighter II HD Remix."" Features Ryu, left, in a white gi with a red headband, and a muscular, red-haired opponent, right, with glowing fists. Blue sky, green grass background. Lightning effects, intense expressions. Ryu's blue energy contrasts with opponent's red glow. ""Street Fighter II HD Remix"" text in bold, colorful logo"
dataset/fighting/virtua-fighter-4.png,"Digital art cover for ""Virtua Fighter 4."" Central figure: muscular male fighter in white gi, black belt, and headband, striking a powerful stance. Background: diverse fighters in various martial arts attire, some with weapons. Colors: white, black, red, blue. Text: ""Virtua Fighter 4"" in bold, metallic letters. Environment: fiery"
dataset/fighting/shaq-fu-a-legend-reborn.png,"Digital game cover for ""Shadows of the Damned: Legend Reborn."" Features a muscular, bald, brown-skinned man with yellow bandages on his hands and blue camouflage pants, wearing a white tank top. He is in a dynamic fighting pose, with a fierce expression. Background shows dark, misty, urban ruins with shadowy, ghostly figures. Bright red and"
dataset/fighting/sifu-digital-deluxe-edition.png,"Digital cover art for ""Deluxe Edition"" of the game ""SiFU"". Features a stern, gray-bearded, long-haired male character with a topknot, wearing a black, armored shirt and red sash. Red brushstroke text overlays his chest. Background is a dimly lit, beige, industrial setting with faint red candle-like objects. Character's expression is intense,"
dataset/fighting/brutal-paws-of-fury.png,"This digital art cover for ""Bratal: Paws of Fury"" features anthropomorphic animals in a fantasy setting. Characters include a fierce lion warrior with a red cloth, a determined brown bear, a muscular rabbit with red headband, and a focused cheetah. The background shows misty mountains and a medieval castle. The title ""Bratal: Paws of Fury"" is"
dataset/fighting/stab-stab-stab.png,"Digital drawing of a colorful, chaotic game cover. Six whimsical, cartoonish alien-like creatures with varying pink, green, blue, and purple hues and long limbs lie tangled on a dark, textured forest floor. Background features shadowy, twisted tree shapes. Bold, colorful text ""STABI STABI"" in pink, blue, and purple splatters dominates the top. Creatures have"
dataset/fighting/brawlhalla.png,"Digital game cover art for ""Brawlhalla"" featuring two anime-style characters in combat. The left character, a golden armored warrior with a blue face and a spear, faces a red-clad female fighter with blue face paint, black hair in a ponytail, and a red headband. The background is a gradient of blue and gray with light rays. The title ""B"
dataset/fighting/tekken-revolution.png,"Digital art cover for ""Tekken Revolution."" Features six characters in dynamic poses: blonde woman, blonde man with spiked hair, brown-haired woman, muscular man with helmet, leopard, and masked figure. Vibrant colors, mostly blue and red, with intense lighting effects. Characters wear various combat outfits. Visible text: ""TEKKEN REVOLUTION"" in bold, metallic gold and black"
dataset/fighting/cadash.png,"This is a colorful, fantasy-themed video game cover illustration in a comic book style. The central figure is a muscular, dark-skinned man with red hair and glowing eyes, wearing tattered blue and brown clothing, standing with a fiery halo around his head. To his left, a fair-skinned woman in a white dress with blue trim and a blue cape stands confidently. To his"
dataset/fighting/pokemon-rumble-u.png,"Colorful Pokémon Rumble game cover featuring Pikachu, Raichu, and other Pokémon like Totodile and Eevee in a vibrant outdoor setting with mountains and trees. Pikachu and Raichu are prominently in the foreground, with Totodile and others in the background. Text reads ""Pokémon Rumble"" in bold, multicolored letters with a blue ""U"""
dataset/fighting/street-fighter-alpha-2.png,"Digital artwork of two anime-style characters in a close, intense confrontation. The left character has short brown hair, a headband, and wears a white and blue sleeveless top. The right character has red mohawk, dark skin, and a fierce expression, wearing a blue jacket. Background is a vivid blue with a shadowy eye. Text reads ""Street Fighter 2"" in"
dataset/fighting/ok-k-dot-o-lets-play-heroes.png,"Vibrant, cartoon-style video game cover featuring ""DK: Let's Play Heroes."" Central character is a brown-haired, red-headband-wearing, blue-shirted hero with large eyes. Surrounding him are colorful, exaggerated characters: a muscular brown bear, a blue, inflatable-like creature, a red-capped, yellow-haired character, a green monster, and a cack"
dataset/fighting/soulcalibur-broken-destiny.png,"Digital game cover for ""Soulsbourne: Broken Destiny."" Features three characters: a muscular, shirtless man with dark hair wielding a flaming sword, a white-haired woman in golden armor, and a bald, red-masked man with a scar. Background shows lightning and a dark, stormy sky. Text reads ""Soulsbourne"" in bold, blue, and ""Broken Destiny"
dataset/fighting/mortal-kombat--2.png,"Digital cover art for ""Mortal Kombat."" Features a bold, black silhouette of a dragon's head with a long snout and flowing mane, centered within a bright orange circle. The words ""MORTAL KOMBAT"" are prominently displayed in large, gradient yellow-to-red, bold letters above and below the dragon. The background is a gradient from deep red to black."
dataset/fighting/darkstalkers-the-night-warriors.png,"Digital anime-style cover for ""Darkstalkers: The Night Warriors."" Features vibrant colors: purple, green, red, and yellow. Central green-eyed character with short green hair, partially obscured. Above, a golden bat emblem with ""Darkstalkers"" in red, fiery text. Surrounding characters include a purple-haired woman with horns, a blue-haired warrior, and a red-cl"
