image_path,caption
../dataset/platform\10-second-ninja-x.png,"The image is a cover for a game titled ""10 Second Ninja X."" The title is prominently displayed in a bold, red font with a white outline. Below the title, there is a stylized illustration of a character in a dynamic pose, suggesting movement and action. The character is wearing a hood and is surrounded by a red and purple gradient background, which adds a sense of urgency and intensity to the scene. The overall style is minimalistic and cartoonish, with clean lines and a limited color palette."
../dataset/platform\102-dalmatians-puppies-to-the-rescue--1.png,"The image is a cover for a Disney movie titled ""102 Dalmatians: Puppies to the Rescue."" The cover features two cartoon dogs, one with a large, floppy ear and the other with a small, pointed ear, both smiling and looking happy. The background includes a clock tower and a cityscape, suggesting a setting in a European city. The text on the cover is partially obscured, but the words ""Puppies to the Rescue"" are clearly visible. The overall style is cartoonish and colorful, typical of Disney animation."
../dataset/platform\140.png,"The image features a stylized graphic with a blue and yellow color scheme. The background consists of a city skyline with buildings under a clear blue sky. The text ""140"" is prominently displayed in the center of the image, with the ""1"" and ""4"" in white and the ""0"" in yellow. The font is modern and clean, with a slight gradient effect that gives it a three-dimensional appearance. The overall style is minimalistic and modern, with a focus on the number ""140"" and the cityscape in the background."
../dataset/platform\20xx.png,"The image is a cover for a video game titled ""20XX."" The title is prominently displayed in the top left corner with a stylized font that includes a pink and orange gradient. Below the title, there is a character in a blue and yellow suit with yellow boots and a blue helmet. The character is holding a large, glowing weapon in their right hand, which has a blue and yellow design. The background features a space scene with stars and a planet, suggesting a futuristic or sci-fi setting. The overall style is vibrant and colorful, with a retro video game aesthetic."
../dataset/platform\40-winks.png,"The image is a cover for a movie or TV show titled ""40 Winks."" The title is prominently displayed in large, bold letters at the top of the cover. Below the title, there are two characters, a boy and a girl, both with exaggeratedly large eyes and wide smiles. The boy has short, blonde hair and is wearing a red outfit. The girl has dark hair and is wearing a red outfit as well. Both characters appear to be in a playful or excited mood, suggesting a lighthearted or comedic theme. The background features a dark, eerie atmosphere with various shapes and figures that resemble ghosts or skeletons, adding to the spooky or mysterious tone of the cover"
../dataset/platform\a-boy-and-his-blob.png,"The image is a cover for a video game titled ""A Boy and His Blob: Trouble on Blobolonia."" The cover features four colorful illustrations, each representing a different character or scenario from the game. The illustrations are arranged in a grid format, with each cell containing a different character or event. 1. **Top Left:** - The character is a boy with a baseball cap and a red shirt, holding a baseball bat. - The text reads: ""BOY BUSTS HIS HEAD AND WATCHES THE EAGLE SUPERFIGHT."" - The background is a bright yellow with a blue sky. 2. **Top Right:** - The character is a boy"
../dataset/platform\a-hat-in-time.png,"The image is a cover for a video game titled ""Hat Kid."" The central character is a young girl with blonde hair, wearing a blue outfit with a yellow hat. She appears to be in mid-air, possibly jumping or flying. To her right is a character with yellow hair, wearing a yellow outfit and a yellow hat, also in mid-air. The background features a cityscape with buildings and a clock tower. In the foreground, there are several other characters, including a character with a black hat and a black outfit, and another character with a yellow hat and a yellow outfit. The characters are engaged in various activities, such as flying and interacting with each other. The overall style of the"
../dataset/platform\a-short-hike.png,"The image is a cover for a game titled ""A Short Hike."" The cover art features a vibrant, colorful scene with a mountainous landscape. The foreground shows a person standing near a waterfall, surrounded by lush green trees and rocky cliffs. The sky is a gradient of warm colors, transitioning from yellow to orange, suggesting either sunrise or sunset. The title ""A Short Hike"" is prominently displayed in a stylized, white font with a mountainous background, giving a sense of adventure and exploration. The overall style is cartoonish and whimsical, with a focus on natural beauty and outdoor activities."
../dataset/platform\a-story-about-my-uncle.png,"The image is a cover for a game titled ""A Story About My Uncle."" The title is prominently displayed in the center of the cover in a white, bold font. Below the title, there is a subtitle in a smaller font that reads ""ABOUT."" The background features a vibrant, colorful scene with a mix of warm and cool tones, suggesting a fantastical or magical setting. In the foreground, there is a character in a dynamic pose, seemingly in mid-air, with a glowing blue energy effect emanating from their body. The character is wearing a dark, futuristic suit with a helmet, and they appear to be floating or levitating. The character's expression is intense, and they are"
../dataset/platform\aaru-s-awakening.png,"The image is a cover for a game titled ""Aurus Awakening."" The title is prominently displayed at the top in a stylized, bold font. Below the title, there is a depiction of a red, fiery creature with a fierce expression, possibly a dragon or a similar mythical beast, emerging from a glowing, circular portal. The background features a complex, intricate design with a mix of warm and cool colors, creating a sense of depth and mystery. The overall style is reminiscent of traditional fantasy art, with a blend of vibrant colors and detailed, intricate designs."
