image_path,caption
../dataset/fighting\10-miles-to-safety.png,"The image is a cover for a game titled ""10 Miles to Safety."" The title is prominently displayed in the center of the cover in a bold, yellow font. Below the title, there is a subtitle in a smaller font that reads, ""Can You Make It."" The background of the cover features a dark, ominous scene with a group of zombie-like figures. These figures have glowing red eyes and are depicted in a somewhat chaotic and unsettling manner, with their limbs and bodies contorted in a way that suggests they are in motion or in a state of distress. The overall style of the cover is dark and eerie, with a focus on the theme of survival against a backdrop of danger."
../dataset/fighting\10-second-ninja-x.png,"The image is a cover for a game titled ""10 Second Ninja X."" The title is prominently displayed in a bold, red font with a white outline. Below the title, there is a stylized illustration of a character in a dynamic pose, suggesting movement and action. The character is wearing a hood and is surrounded by a red and purple gradient background, which adds a sense of urgency and intensity to the scene. The overall style is minimalistic and cartoonish, with clean lines and a limited color palette."
../dataset/fighting\100ft-robot-golf.png,"The image is a cover for a game titled ""100FT ROBOT GOLF."" The cover features a vibrant, colorful illustration of a robot with a futuristic design, predominantly yellow and green with some red and blue accents. The robot appears to be in a dynamic pose, possibly swinging a golf club, suggesting a theme of robot golf. The background is dark, which contrasts with the bright colors of the robot, making it stand out. The title ""100FT ROBOT GOLF"" is written in bold, white, uppercase letters at the top of the cover. Below the title, there is a logo that resembles a stylized robot head with a green and red color scheme."
../dataset/fighting\3-count-bout.png,"The image is a cover for a video game titled ""3COUNT BOUT."" The cover features three muscular, animated characters in a dynamic pose, with one character in the foreground holding a blue bandage on his arm. The background is a red and orange gradient with a cityscape in the distance. The text on the cover includes the following details: - ""3COUNT BOUT"" in large, bold letters at the top. - ""106 MEGS"" below the title, indicating the game's size in megabytes. - ""1-2 PLAYERS"" below the title, suggesting that the game is for two players. - ""NEO GEO"" at the bottom, indicating"
../dataset/fighting\5-force-fighters.png,"The image is a cover for a game titled ""5 Force Fighters."" The cover features three characters in a vertical arrangement. The character on the left has a red and black color scheme with a menacing expression, the character in the middle has a purple and black color scheme with a more intense expression, and the character on the right has a yellow and black color scheme with a fierce expression. The characters have a cartoonish and stylized design, with exaggerated features and bright colors. The text ""5 FORCE FIGHTERS"" is prominently displayed in the center of the cover."
../dataset/fighting\99vidas.png,"The image is a cover for a game titled ""99 Vidas."" The background features a fiery, red and orange sky with a large sun in the center, giving a sense of action and intensity. The title ""99 Vidas"" is prominently displayed in the upper part of the cover, with the number ""99"" in a bold, white font with a red outline, and the word ""VIDAS"" in a smaller, white font with a red outline. The characters on the cover are depicted in a cartoonish, stylized manner, with exaggerated features and bright, vibrant colors. The characters appear to be a group of friends or teammates, each wearing different outfits, suggesting a"
../dataset/fighting\a-dot-i-m-dot-dollars-all-you-need-is-money.png,"The image is a promotional poster for a game titled ""A.I.M.S."" The title is prominently displayed at the top in large, bold letters. Below the title, there is a tagline that reads, ""All you need is Money."" The poster features a group of characters, each with a unique appearance and outfit, standing in a line. The characters are dressed in various costumes, suggesting a diverse and colorful theme. The background is a mix of urban and fantastical elements, with buildings and a sky that appear to be part of a cityscape. The overall style of the poster is vibrant and energetic, with a mix of bold colors and dynamic poses."
../dataset/fighting\a-gummys-life.png,"The image is a cover for a game titled ""Gunny's Life."" The background is a gradient of light blue, with a playful and colorful design. The main character is a yellow, round, and somewhat squishy creature with large, expressive eyes and a small, round head. It has a blue body with a white, squishy, and somewhat transparent head. The character is surrounded by various other colorful, cartoonish creatures, including a blue and white creature with a hat, a yellow and white creature with a hat, and a brown and white creature with a hat. The text ""A"" is partially visible, and ""LIFE"" is more fully visible. The overall style"
../dataset/fighting\abobos-big-adventure.png,"The image is a cover for a game titled ""Abobo's Big Adventure."" The title is prominently displayed at the top in a bold, white font. Below the title, there are three cartoon characters. The character on the left is a large, muscular figure with a green helmet and a green shirt, holding a green gun. The character in the middle is a smaller, more humanoid figure with a red helmet and a red shirt, holding a red gun. The character on the right is a smaller, more cartoonish figure with a yellow helmet and a yellow shirt, holding a yellow gun. All three characters are standing in a dynamic pose, suggesting action and adventure. The background is a gradient of"
../dataset/fighting\abraca-imagic-games.png,"The image is a cover for a game titled ""Abraca."" The background features a whimsical, cartoonish scene with a castle in the distance, surrounded by a forest and a mountain. The characters on the cover are colorful and animated, with various poses and expressions. The characters include a girl with yellow hair, a boy with a red hat, a girl with glasses, and a boy with a white hat. The title ""IMAGIC GAMES"" is written in a playful, colorful font. The overall style is bright and cheerful, with a focus on fun and adventure."
../dataset/fighting\absolver.png,"The image depicts a character standing in a dark, mysterious environment. The character is wearing a black outfit with a high collar and a belt, and is adorned with a large, ornate necklace. The background is blurred, with hints of a futuristic or sci-fi setting, and the word ""ABSOLVER"" is prominently displayed in the foreground. The overall style is dark and dramatic, with a focus on the character's intense expression and the intricate details of their attire."
../dataset/fighting\ace-of-seafood.png,"The image is a vibrant and colorful poster featuring a variety of seafood. The central focus is on a large fish with a blue and white color scheme, surrounded by smaller fish and other marine life. The background is a mix of vibrant colors, predominantly blue and green, with some elements in red and orange. The text ""ACE OF SEAFOOD"" is prominently displayed in green, with a stylized font that adds a dynamic element to the overall design. The overall style is energetic and eye-catching, likely intended to attract attention to the seafood product being advertised."
../dataset/fighting\aces-of-the-luftwaffe-squadron.png,"The image is a cover for a game titled ""Aces of the Luftwaffe Squadron."" The cover features a cityscape with a large, futuristic aircraft flying over it, accompanied by several fighter planes and a battleship. The title ""Aces of the Luftwaffe"" is prominently displayed in the center, with the word ""Squadron"" below it. The overall style is vibrant and dynamic, with a mix of realistic and futuristic elements."
../dataset/fighting\actraiser.png,"The image is a cover for a video game titled ""ActRaiser."" The central figure is a warrior holding a sword, standing in a dramatic pose against a backdrop of a castle and a dragon. The warrior is surrounded by various other characters and creatures, including a lion, a monkey, and a man with a beard. The background features a moon and a castle, adding to the fantasy theme. The text on the cover is partially obscured, but it appears to be the title of the game. The overall style is reminiscent of classic fantasy art, with bold colors and intricate details."
../dataset/fighting\adventure-time-pirates-of-the-enchiridion.png,"The image is a cover for a game titled ""Adventure Time: Pirates of the Enchiridion."" The cover features a cartoon-style boat with four characters on it. The characters are: 1. **Adventure Time**: A yellow character with a surprised expression, wearing a yellow shirt and a hat. 2. **Pirate**: A blue character with a mustache, wearing a pirate hat and holding a sword. 3. **Pirate**: A black character with a black hat and a black shirt, holding a sword. 4. **Pirate**: A white character with a white hat and a white shirt, holding a sword. The boat is wooden and has a blue and white color scheme"
../dataset/fighting\age-of-gladiators.png,"The image is a cover for a game titled ""Age of Gladiators."" The cover features two characters, each wearing Roman or gladiator-style armor. The character on the left is wearing a red and gold armor with a helmet, while the character on the right is wearing a similar armor but with a gold helmet. Both characters have muscular builds and are depicted in a dynamic pose, suggesting action or combat. The background is dark, which contrasts with the bright colors of the characters' armor. The text ""Age of Gladiators"" is prominently displayed at the top in bold, red letters."
